hum,tgt
SPP1,Spp1
SPR,Spr
SPRR1B,Sprr1b
SPRR3,Sprr3
SPTA1,Spta1
SPTAN1,Sptan1
SPTB,Sptb
SPTBN1,Sptbn1
SPTBN2,Sptbn2
SQLE,Sqle
SRC,Src
SRD5A1,Srd5a1
SRD5A2,Srd5a2
SRI,Sri
AKR1D1,Akr1d1
SREBF1,Srebf1
SREBF2,Srebf2
SRF,Srf
SRM,Srm
SRMS,Srms
SRP9,Srp9
SRP14,Srp14
SRP19,Srp19
SRP54,Srp54a
SRP68,Srp68
SRP72,Srp72
SRPK1,Srpk1
SRPK2,Srpk2
SRPRA,Srpra
TRIM21,Trim21
RO60,Ro60
SSB,Ssb
SSBP1,Ssbp1
ITPRID2,Itprid2
SSR1,Ssr1
SSR2,Ssr2
SSR3,Ssr3
SSR4,Ssr4
SSRP1,Ssrp1
SST,Sst
SSTR1,Sstr1
SSTR2,Sstr2
SSTR3,Sstr3
SSTR4,Sstr4
SSTR5,Sstr5
SS18,Ss18
DENND2B,Dennd2b
ST13,St13
ST14,St14
STAC,Stac
STAR,Star
STAT1,Stat1
STAT2,Stat2
STAT3,Stat3
STAT4,Stat4
STAT5B,Stat5b
STAT6,Stat6
STATH,Stath
STAU1,Stau1
STC1,Stc1
HSPA13,Hspa13
ELOVL4,Elovl4
STIM1,Stim1
NEK4,Nek4
STK3,Stk3
STK4,Stk4
AURKA,Aurka
CDKL5,Cdkl5
STK10,Stk10
STK11,Stk11
AURKC,Aurkc
STRN,Strn
STX1A,Stx1a
STX3,Stx3
STX4,Stx4
STX5,Stx5
STXBP1,Stxbp1
STXBP2,Stxbp2
STXBP3,Stxbp3
STYX,Styx
SULT1A1,Sult1a1
SULT2B1,Sult2b1
SUOX,Suox
SUPT4H1,Supt4h1
SUPT5H,Supt5h
SUPT6H,Supt6h
SUPV3L1,Supv3l1
ABCC8,Abcc8
SURF1,Surf1
SURF2,Surf2
SURF4,Surf4
MED22,Med22
SURF6,Surf6
SUV39H1,Suv39h1
SVIL,Svil
VAMP1,Vamp1
VAMP2,Vamp2
VAMP7,Vamp7
SYCP1,Sycp1
SYK,Syk
SYN1,Syn1
SYN2,Syn2
SYP,Syp
SYPL1,Sypl1
SYT1,Syt1
SYT4,Syt4
SYT5,Syt5
TBXT,Tbxt
TAC1,Tac1
TACR2,Tacr2
TAC3,Tac3
TACC1,Tacc1
ADAM17,Adam17
TACR1,Tacr1
TACR3,Tacr3
TADA2A,Tada2a
TAF1,Taf1
TAF2,Taf2
TAF4,Taf4
TAF4B,Taf4b
TAGLN,Tagln
TAF5,Taf5
TAF6,Taf6
TAF7,Taf7
TAF9,Taf9
TAF10,Taf10
TAF11,Taf11
TAF12,Taf12
TAF13,Taf13
MAP3K7,Map3k7
TAL1,Tal1
TAL2,Tal2
TALDO1,Taldo1
TAP1,Tap1
TAP2,Tap2
TAPBP,Tapbp
TARBP1,Tarbp1
TARBP2,Tarbp2
TARS1,Tars1
TAT,Tat
TBX1,Tbx1
CNTN2,Cntn2
TAFAZZIN,Tafazzin
TBCA,Tbca
TBCC,Tbcc
TBCD,Tbcd
TBCE,Tbce
SERPINA7,Serpina7
TBL1X,Tbl1x
TBP,Tbp
TBX2,Tbx2
TBX5,Tbx5
TBX6,Tbx6
TBX15,Tbx15
TBXA2R,Tbxa2r
TBXAS1,Tbxas1
TCEA1,Tcea1
TCEA2,Tcea2
TCEA3,Tcea3
ELOC,Eloc
ELOB,Elob
ELOA,Eloa
TCF4,Tcf4
TBX3,Tbx3
HNF1A,Hnf1a
HNF1B,Hnf1b
TCF3,Tcf3
TCF7,Tcf7
TCF7L2,Tcf7l2
ZEB1,Zeb1
GCFC2,Gcfc2
TCF12,Tcf12
TCF15,Tcf15
TCF19,Tcf19
TCF20,Tcf20
TCF21,Tcf21
VPS72,Vps72
MLX,Mlx
TCN2,Tcn2
TCOF1,Tcof1
TCP1,Tcp1
TCP11,Tcp11
TECTB,Tectb
TCTA,Tcta
DYNLT3,Dynlt3
DYNLT2,Dynlt2
PPP1R11,Ppp1r11
DYNLT1,Dynlt1
TDG,Tdg
CRIPTO,Cripto
TDO2,Tdo2
PRDX2,Prdx2
TEAD1,Tead1
TEAD4,Tead4
TEAD3,Tead3
TEC,Tec
TECTA,Tecta
TEF,Tef
TMBIM6,Tmbim6
TEK,Tek
TEP1,Tep1
TERF1,Terf1
TERF2,Terf2
TERT,Tert
TESK1,Tesk1
TF,Tf
TFAM,Tfam
TFAP2A,Tfap2a
TFAP2B,Tfap2b
TFAP2C,Tfap2c
TFAP4,Tfap4
TFCP2,Tfcp2
NR2F1,Nr2f1
NR2F2,Nr2f2
TFDP1,Tfdp1
TFDP2,Tfdp2
TFE3,Tfe3
TFF1,Tff1
TFF2,Tff2
TFF3,Tff3
TFPI,Tfpi
TFR2,Tfr2
TFRC,Tfrc
TG,Tg
TGFA,Tgfa
TGFB1,Tgfb1
TGFB1I1,Tgfb1i1
TGFB2,Tgfb2
TGFB3,Tgfb3
TGFBI,Tgfbi
TGFBR1,Tgfbr1
TGM4,Tgm4
TGFBR2,Tgfbr2
TGFBR3,Tgfbr3
TGIF1,Tgif1
TGM1,Tgm1
TGM2,Tgm2
TGM3,Tgm3
TH,Th
THBD,Thbd
THBS1,Thbs1
THBS2,Thbs2
THBS3,Thbs3
THBS4,Thbs4
TCHH,Tchh
THOP1,Thop1
THPO,Thpol1
THRA,Thra
THRB,Thrb
THRSP,Thrsp
THY1,Thy1
KLF10,Klf10
TIA1,Tia1
TIAL1,Tial1
TIAM1,Tiam1
TIE1,Tie1
TIMP1,Timp1
TIMP2,Timp2
TIMP3,Timp3
TIMP4,Timp4
NKX2-1,Nkx2-1
TJP1,Tjp1
TK1,Tk1
TK2,Tk2
TKT,Tkt
TLE1,Tle1
TLE2,Tle2
TLE3,Tle3
TLE4,Tle4
TLL1,Tll1
TLL2,Tll2
TLN1,Tln1
SEC62,Sec62
TLR1,Tlr1
TLR2,Tlr2
TLR3,Tlr3
TLR4,Tlr4
TLR5,Tlr5
NR2E1,Nr2e1
TSPAN7,Tspan7
TSPAN8,Tspan8
TM4SF4,Tm4sf4
TSPAN6,Tspan6
TSPAN4,Tspan4
GPR137B,Gpr137b
TM7SF2,Tm7sf2
TRAPPC10,Trappc10
TMF1,Tmf1
TMOD1,Tmod1
TMPO,Tmpo
TMPRSS2,Tmprss2
TMSB4X,Tmsb4x
CLDN5,Cldn5
CLEC3B,Clec3b
TNF,Tnf
TNNC2,Tnnc2
TNFAIP1,Tnfaip1
TNFAIP2,Tnfaip2
TNFAIP3,Tnfaip3
TNFAIP6,Tnfaip6
TNFRSF1A,Tnfrsf1a
TNFRSF1B,Tnfrsf1b
TNNC1,Tnnc1
TNNI1,Tnni1
TNNI2,Tnni2
TNNI3,Tnni3
TNNT1,Tnnt1
TNNT2,Tnnt2
TNNT3,Tnnt3
TNP1,Tnp1
TNP2,Tnp2
TNR,Tnr
TNS1,Tns1
TOP1,Top1
TOP2A,Top2a
TOP2B,Top2b
TOP3A,Top3a
TP53,Tp53
TP53BP1,Tp53bp1
TP53BP2,Tp53bp2
TP73,Tp73
TPBG,Tpbg
TPD52,Tpd52
TPD52L1,Tpd52l1
TPD52L2,Tpd52l2
TPH1,Tph1
TPI1,Tpi1
TPM1,Tpm1
TPM2,Tpm2
TPM3,Tpm3
TPM4,Tpm4
TPMT,Tpmt
TPO,Tpo
TPP2,Tpp2
TPR,Tpr
TPT1,Tpt1
NR2C1,Nr2c1
NR2C2,Nr2c2
HSP90B1,Hsp90b1
TRAF1,Traf1
TRAF2,Traf2
TRAF3,Traf3
TRAF5,Traf5
TRAF6,Traf6
TRH,Trh
TRHR,Trhr
CCT3,Cct3
TRIO,Trio
TRIP6,Trip6
TRPC1,Trpc1
TRPC3,Trpc3
TRPC4,Trpc4
TRPC5,Trpc5
TRPC6,Trpc6
TRPM2,Trpm2
TRPS1,Trps1
TSN,Tsn
TSC1,Tsc1
TSC2,Tsc2
TSG101,Tsg101
TSHB,Tshb
TSHR,Tshr
TSNAX,Tsnax
TSPYL1,Tspyl1
EIPR1,Eipr1
PHLDA2,Phlda2
TST,Tst
GFUS,Gfus
TTC1,Ttc1
DNAJC7,Dnajc7
TTC3,Ttc3
TTC4,Ttc4
TTF1,Ttf1
TTK,Ttk
TTN,Ttn
TTPA,Ttpa
TUB,Tub
TTR,Ttr
TUBA4A,Tuba4a
TUFM,Tufm
TUFT1,Tuft1
TULP1,Tulp1
TULP2,Tulp2
TULP3,Tulp3
HIRA,Hira
TWIST1,Twist1
TNFSF4,Tnfsf4
TNFRSF4,Tnfrsf4
TXK,Txk
TXN,Txn1
TXNRD1,Txnrd1
TYK2,Tyk2
TYMS,Tyms
TYR,Tyr
TYRO3,Tyro3
TYROBP,Tyrobp
TYRP1,Tyrp1
U2AF1,U2af1
UBA52,Uba52
UBB,Ubb
UBC,Ubc
UBA1,Uba1
UBA7,Uba7
UBE2A,Ube2a
UBE2B,Ube2b
UBE2D1,Ube2d1
UBE2D2,Ube2d2
UBE2D3,Ube2d3
UBE2E1,Ube2e1
UBE2E2,Ube2e2
UBE2G1,Ube2g1
UBE2G2,Ube2g2
UBE2H,Ube2h
UBE2I,Ube2i
UBE2L3,Ube2l3
UBE2N,Ube2n
UBE2V1,Ube2v1
UBE2V2,Ube2v2
UBE3A,Ube3a
SUMO1,Sumo1
UBP1,Ubp1
UBTF,Ubtf
UCHL1,Uchl1
UCHL3,Uchl3
UPK1B,Upk1b
UCN,Ucn
UCP1,Ucp1
UCP2,Ucp2
UCP3,Ucp3
UFD1,Ufd1
SLC35A2,Slc35a2
SCGB1A1,Scgb1a1
UGCG,Ugcg
UGDH,Ugdh
UGP2,Ugp2
UGT8,Ugt8
UMOD,Umod
UCK2,Uck2
UMPS,Umps
COL14A1,Col14a1
UNG,Ung
USP4,Usp4
NR1H2,Nr1h2
UPP1,Upp1
UPK2,Upk2
UPK3A,Upk3a
UQCRB,Uqcrb
UQCRC1,Uqcrc1
UQCRC2,Uqcrc2
UQCRFS1,Uqcrfs1
UQCRH,Uqcrh
UROD,Urod
UROS,Uros
USF1,Usf1
USF2,Usf2
USP1,Usp1
USH2A,Ush2a
CLRN1,Clrn1
UTRN,Utrn
KDM6A,Kdm6a
UVRAG,Uvrag
VARS1,Vars1
VASP,Vasp
VAV1,Vav1
VAV2,Vav2
VBP1,Vbp1
VCAM1,Vcam1
VCL,Vcl
VCP,Vcp
VDAC1,Vdac1
VDAC2,Vdac2
VDAC3,Vdac3
VDR,Vdr
VEGFA,Vegfa
VEGFB,Vegfb
VEGFC,Vegfc
VGF,Vgf
VHL,Vhl
VIL1,Vil1
EZR,Ezr
VIM,Vim
VIP,Vip
VIPR1,Vipr1
VIPR2,Vipr2
VLDLR,Vldlr
BEST1,Best1
VPREB1,Vpreb1a
TRPV1,Trpv1
VRK1,Vrk1
VRK2,Vrk2
VSNL1,Vsnl1
VTN,Vtn
VWF,Vwf
WARS1,Wars1
WAS,Was
ZAN,Zan
WIPF1,Wipf1
EIF4H,Eif4h
CLIP2,Clip2
LAT2,Lat2
CORO2A,Coro2a
WEE1,Wee1
WFS1,Wfs1
NSD2,Nsd2
NELFA,Nelfa
WNT1,Wnt1
WNT2,Wnt2
WNT3,Wnt3
WNT5A,Wnt5a
WNT6,Wnt6
WNT7A,Wnt7a
WNT7B,Wnt7b
WNT8A,Wnt8a
WNT8B,Wnt8b
WNT10B,Wnt10b
WNT11,Wnt11
WNT2B,Wnt2b
WNT9A,Wnt9a
WNT9B,Wnt9b
GET1,Get1
WRN,Wrn
WT1,Wt1
XBP1,Xbp1
XDH,Xdh
XK,Xk
XPA,Xpa
XPC,Xpc
XPNPEP1,Xpnpep1
XPNPEP2,Xpnpep2
XPO1,Xpo1
XRCC1,Xrcc1
XRCC2,Xrcc2
XRCC3,Xrcc3
XRCC4,Xrcc4
XRCC5,Xrcc5
YES1,Yes1
YY1,Yy1
YWHAB,Ywhab
YWHAE,Ywhae
YWHAG,Ywhag
YWHAH,Ywhah
YWHAZ,Ywhaz
ZAP70,Zap70
SF1,Sf1
ZFP36,Zfp36
ZFP37,Zfp37
ZBTB14,Zbtb14
ZFPL1,Zfpl1
ZFX,Zfx
ZIC1,Zic1
ZIC2,Zic2
ZIC3,Zic3
ZNF2,LOC100909998
ZNF3,Zfp113
ZNF711,Zfp711
ZNF7,Zfp7
ZNF8,Znf8
CNBP,Cnbp
ZNF12,Zfp12
ZNF16,Znf16l-ps1
ZNF18,Zfp18
ZNF182,Zfp182
ZNF22,Zfp422
ZNF23,Zfp612
ZSCAN20,Zscan20
ZNF32,Zfp637
ZNF35,Zfp105
ZKSCAN1,Zkscan1
ZSCAN21,Zscan21
MZF1,Mzf1
ZBTB25,Zbtb25
ZNF75D,Zfp75d
ZNF76,Zfp523
ZNF91,Zfp619
MKRN3,Mkrn3
ZNF131,Zfp131
ZNF133,Zfp133
ZNF142,Zfp142
ZNF143,Zfp143
PCGF2,Pcgf2
ZBTB16,Zbtb16
ZNF146,Zfp146
TRIM25,Trim25
ZNF148,Zfp148
ZBTB17,Zbtb17
ZNF157,LOC100911510
VEZF1,Vezf1
TRIM26,Trim26
ZNF174,Zfp174
RNF112,Rnf112
ZNF180,Zfp180
RNF113A,Rnf113a1
ZNF184,Zfp184
ZNF185,Zfp185
ZSCAN26,Zscan26
ZNF189,Zfp189
ZKSCAN8,Zkscan8
ZMYM2,Zmym2
ZNF202,Zfp202
ZNF205,Zfp13
ZNF207,Zfp207
ZNF213,Zfp213
ZFAND5,Zfand5
ZNF217,Zfp217
ZNF112,Zfp112
ZNF236,Zfp236
SLC30A1,Slc30a1
SLC30A2,Slc30a2
SLC30A3,Slc30a3
SLC30A4,Slc30a4
ZP2,Zp2
ZP3,Zp3
MAP3K12,Map3k12
ZYX,Zyx
LUZP1,Luzp1
PRDM2,Prdm2
DNALI1,Dnali1
PTP4A1,Ptp4a1
LRP8,Lrp8
LAPTM5,Laptm5
BSND,Bsnd
CSDE1,Csde1
EVI5,Evi5
DAP3,Dap3
NPHS2,Nphs2
BTG2,Btg2
PXDN,Pxdn
ALMS1,Alms1
MOGS,Mogs
RNF103,Rnf103
TUBA1A,Tuba1a
PAX8,Pax8
IL1R2,Il1r2
MALL,Mall
CXCR4,Cxcr4
FZD5,Fzd5
SCG2,Scg2
BRPF1,Brpf1
IFRD2,Ifrd2
MAPKAPK3,Mapkapk3
SEMA3B,Sema3b
SLMAP,Slmap
MANF,Manf
USP7,Usp7
RAB7A,Rab7a
KCNAB1,Kcnab1
SLBP,Slbp
ST8SIA4,St8sia4
REEP5,Reep5
DEK,Dek
ALDH5A1,Aldh5a1
PRRC2A,Prrc2a
BAG6,Bag6
GPANK1,Gpank1
DDX39B,Ddx39b
ABHD16A,Abhd16a
SLC39A7,Slc39a7
HSD17B8,Hsd17b8
OR2H2,Or2h2
NELFE,Nelfe
LST1,Lst1
PLA2G7,Pla2g7
TFEB,Tfeb
EPM2A,Epm2a
AIMP2,Aimp2
MAFK,Mafk
FZD3,Fzd3
MTERF1,Mterf1
SEM1,Sem1
TFPI2,Tfpi2
ST7,St7
ARHGEF5,Arhgef5
TUSC3,Tusc3
UBXN8,Ubxn8
KAT6A,Kat6a
PSCA,Psca
GLRA3,Glra3
NR4A3,Nr4a3
BRD3,Brd3
NUP214,Nup214
LHX3,Lhx3
STAM,Stam
MLLT10,Mllt10
CUBN,Cubn
CCDC6,Ccdc6
NCOA4,Ncoa4
SLC25A16,Slc25a16
SHOC2,Shoc2
ADAM12,Adam12
RASSF7,Rassf7
CSRP3,Csrp3
PDHX,Pdhx
FOSL1,Fosl1
CUL5,Cul5
PTP4A2,Ptp4a2
FGF23,Fgf23
MFAP5,Mfap5
USP5,Usp5
MLF2,Mlf2
SSPN,Sspn
KMT2D,Kmt2d
AAAS,Aaas
FXR1,Fxr1
YEATS4,Yeats4
HMGA2,Hmga2
ALX1,Alx1
CDK2AP1,Cdk2ap1
IFT88,Ift88
PABPN1,Pabpn1
DPF3,Dpf3
GPR68,Gpr68
TCL1A,Tcl1a
AP3B2,Ap3b2
ANP32A,Anp32a
ST8SIA2,St8sia2
NPRL3,Nprl3
GAN,Gan
SLC7A5,Slc7a5
TAF15,Taf15
RND2,Rnd2
COIL,Coil
AKAP1,Akap1
SLC14A2,Slc14a2
MADCAM1,Madcam1
SF3A2,Sf3a2
ELL,Ell
ZNF239,Zfp239
SYMPK,Sympk
MIA,Mia
CLPP,Clpp
DPF1,Dpf1
MKKS,Mkks
GDF5,Gdf5
NCOA3,Ncoa3
NRIP1,Nrip1
CHAF1B,Chaf1b
GATD3,Gatd3a
LZTR1,Lztr1
ESS2,Ess2
SYN3,Syn3
GTPBP6,Gtpbp6
PUDP,Pudp
AKAP17A,Akap17a
PNPLA4,Pnpla4
ZRSR2,Zrsr2
USP11,Usp11
USP9X,Usp9x
RBM10,Rbm10
KDM5C,Kdm5c
SMC1A,Smc1a
NAA10,Naa10
UBL4A,Ubl4a
LAGE3,Lage3
SLC10A3,Slc10a3
TKTL1,Tktl1
EPX,Epx
ARID1A,Arid1a
H3-4,H3f4
DYSF,Dysf
COLQ,Colq
H4C9,Hist1h4b
TRRAP,Trrap
PICALM,Picalm
SNN,Snn
ACOX2,Acox2
ACOX3,Acox3
AXIN1,Axin1
AXIN2,Axin2
BAP1,Bap1
BRAP,Brap
CDC7,Cdc7
CDC45,Cdc45
EOMES,Eomes
FZD1,Fzd1
FZD4,Fzd4
FZD6,Fzd6
FZD7,Fzd7
FZD8,Fzd8
FZD9,Fzd9
GFI1B,Gfi1b
H2AC20,H2ac20
H2BC21,Hist2h2be
H3C1,H3c1
HYAL3,Hyal3
MAD1L1,Mad1l1
NME5,Nme5
PIP5K1A,Pip5k1a
PIP5K1B,Pip5k1b
PIP4K2B,Pip4k2b
PLA2G6,Pla2g6
PLA2G10,Pla2g10
SLC25A11,Slc25a11
SOX14,Sox14
SPARCL1,Sparcl1
SPOP,Spop
SRPX,Srpx
TAGLN2,Tagln2
ULK1,Ulk1
UXT,Uxt
EEA1,Eea1
BCAR3,Bcar3
ANXA9,Anxa9
STX7,Stx7
BFSP2,Bfsp2
BBOX1,Bbox1
LTBP4,Ltbp4
ZNF282,Zfp282
STK24,Stk24
NR0B2,Nr0b2
UTF1,Utf1
RECK,Reck
SOAT2,Soat2
CAVIN2,Cavin2
RASAL1,Rasal1
RAD54L,Rad54l
NSMAF,Nsmaf
NCK2,Nck2
GNPAT,Gnpat
DYRK3,Dyrk3
DYRK2,Dyrk2
DUSP11,Dusp11
DOC2B,Doc2b
DOC2A,Doc2a
DHX16,Dhx16
CUL4B,Cul4b
CUL4A,Cul4a
CUL3,Cul3
CUL2,Cul2
CUL1,Cul1
ATRN,Atrn
FOXN1,Foxn1
TTF2,Ttf2
TPST2,Tpst2
TPST1,Tpst1
KLF11,Klf11
TEAD2,Tead2
SUPT3H,Supt3h
SMARCA5,Smarca5
FKBP6,Fkbp6
SORBS2,Sorbs2
IRS4,Irs4
OGT,Ogt
CDC42BPA,Cdc42bpa
GPR65,Gpr65
HIRIP3,Hirip3
RAE1,Rae1
OFD1,Ofd1
SEMA7A,Sema7a
CILP,Cilp
GALR3,Galr3
GEMIN2,Gemin2
RGS5,Rgs5
MAP4K3,Map4k3
PRSS12,Prss12
PPM1D,Ppm1d
PPFIBP2,Ppfibp2
PPFIBP1,Ppfibp1
PPFIA4,Ppfia4
RANBP3,Ranbp3
PPFIA2,Ppfia2
PPFIA1,Ppfia1
SLC43A1,Slc43a1
PKP4,Pkp4
PIK3R3,Pik3r3
PEX3,Pex3
PARG,Parg
CNTNAP1,Cntnap1
ENC1,Enc1
NIPSNAP1,Nipsnap1
NDST2,Ndst2
MMP23B,Mmp23
LIPF,Lipf
KCNAB2,Kcnab2
ITGA10,Itga10
ITGA8,Itga8
IKBKG,Ikbkg
ELP1,Elp1
HAT1,Hat1
GCM1,Gcm1
GAS7,Gas7
DGKZ,Dgkz
DGKE,Dgke
DGKD,Dgkd
DDO,Ddo
CST7,Cst7
YBX3,Ybx3
CPZ,Cpz
COPS3,Cops3
CHST1,Chst1
CBX4,Cbx4
CAMK1,Camk1
BCAS1,Bcas1
BARX2,Barx2
API5,Api5
AGPS,Agps
PPFIA3,Ppfia3
LMO4,Lmo4
PIR,Pir
CGGBP1,Cggbp1
AP3B1,Ap3b1
BLZF1,Blzf1
LGR5,Lgr5
MAPKAPK5,Mapkapk5
BHLHE40,Bhlhe40
PIAS1,Pias1
CDC14B,Cdc14b
CDC14A,Cdc14a
TCAP,Tcap
CDK10,Cdk10
PRPF18,Prpf18
DENR,Denr
THOC5,Thoc5
KMO,Kmo
YARS1,Yars1
PDXK,Pdxk
MADD,Madd
RRP1,Rrp1
MKNK1,Mknk1
KHSRP,Khsrp
PDLIM4,Pdlim4
CASK,Cask
AKR7A2,Akr7a2
PRKRA,Prkra
STK16,Stk16
TMEFF1,Tmeff1
SCARF1,Scarf1
LY6D,Ly6d
OR6A2,Or6a2
TNFSF11,Tnfsf11
RGS20,Rgs20
NOP14,Nop14
FAM193A,Fam193a
SLC25A12,Slc25a12
PLA2G4C,Pla2g4c
RUVBL1,Ruvbl1
KLF7,Klf7
PLPP1,Plpp1
PLPP2,Plpp2
PLPP3,Plpp3
STC2,Stc2
USO1,Uso1
CADPS,Cadps
NPFF,Npff
CDK13,Cdk13
PDE8B,Pde8b
ASMTL,Asmtl
PSMG1,Psmg1
RFXANK,Rfxank
TP63,Tp63
JRK,Jrk
SKAP1,Skap1
DNAH17,Dnah17
UNC5C,Unc5c
RTCA,Rtca
RNASET2,Rnaset2
SSNA1,Ssna1
EIF4EBP3,Eif4ebp3
OASL,Oasl
DCHS1,Dchs1
PTCH2,Ptch2
KCNK5,Kcnk5
CHRD,Chrd
ABCB11,Abcb11
NCOA1,Ncoa1
LAMTOR3,Lamtor3
NUMB,Numb
SOCS1,Socs1
PDE5A,Pde5a
DYNLL1,Dynll1
TNKS,Tnks
ALDH4A1,Aldh4a1
IRS2,Irs2
EIF3A,Eif3a
EIF3B,Eif3b
EIF3D,Eif3d
EIF3F,Eif3f
EIF3G,Eif3g
EIF3H,Eif3h
EIF3I,Eif3i
EIF3J,Eif3j
SLC4A4,Slc4a4
EIF4G3,Eif4g3
VAMP8,Vamp8
VAMP4,Vamp4
STX16,Stx16
STX11,Stx11
BECN1,Becn1
PEA15,Pea15
SRSF9,Srsf9
MARCO,Marco
KRT36,Krt36
JRKL,Jrkl
HYAL2,Hyal2
GALNT4,Galnt4
DGAT1,Dgat1
CDC23,Cdc23
S1PR4,S1pr4
DNAH11,Dnah11
B4GALT4,B4galt4
B4GALT3,B4galt3
B4GALT2,B4galt2
B3GALT4,B3galt4
B3GALNT1,B3galnt1
B3GALT2,B3galt2
B3GALT1,B3galt1
SERPINB7,Serpinb7
TNK1,Tnk1
ABCC3,Abcc3
NOL4,Nol4
TRADD,Tradd
TNFRSF25,Tnfrsf25
MBTPS1,Mbtps1
EDF1,Edf1
CTSF,Ctsf
SNX4,Snx4
SNX3,Snx3
URI1,Uri1
EED,Eed
CTNNAL1,Ctnnal1
ADAM19,Adam19
GBF1,Gbf1
RNMT,Rnmt
RNGTT,Rngtt
GPAA1,Gpaa1
MYH13,Myh13
MYOM1,Myom1
RIPK1,Ripk1
HRK,Hrk
TNFSF14,Tnfsf14
TNFSF13,Tnfsf13
TNFSF12,Tnfsf12
TNFSF10,Tnfsf10
TNFSF9,Tnfsf9
ADAM23,Adam23
ADAM18,Adam18
ADAM15,Adam15
ADAM9,Adam9
ADAM7,Adam7
CDS2,Cds2
PABPC4,Pabpc4
CD164,Cd164
TNFRSF14,Tnfrsf14
RAB11A,Rab11a
RIPK2,Ripk2
FADD,Fadd
SNAP23,Snap23
NAPG,Napg
NAPA,Napa
MTMR1,Mtmr1
MPDZ,Mpdz
RIOK3,Riok3
TNFRSF18,Tnfrsf18
MATN4,Matn4
RGS11,Rgs11
RGS9,Rgs9
DLK1,Dlk1
FBP2,Fbp2
FPGT,Fpgt
TNFRSF11A,Tnfrsf11a
TNFRSF10B,Tnfrsf10b
SCEL,Scel
DYRK4,Dyrk4
PEX11B,Pex11b
PEX11A,Pex11a
SUCLG2,Suclg2
SUCLG1,Suclg1
SUCLA2,Sucla2
CREG1,Creg1
TRIM24,Trim24
IL18RAP,Il18rap
IL1RL2,Il1rl2
IL18R1,Il18r1
GALR2,Galr2
CCNK,Ccnk
DPM1,Dpm1
CDKL1,Cdkl1
BANF1,Banf1
DCAF5,Dcaf5
FGF18,Fgf18
DPM2,Dpm2
SAP30,Sap30
HESX1,Hesx1
INPP4B,Inpp4b
FGF17,Fgf17
FGF16,Fgf16
CES2,Ces2
LIN7A,Lin7a
IQGAP1,Iqgap1
NRP2,Nrp2
NRP1,Nrp1
SYNGAP1,Syngap1
CD84,Cd84
GMPS,Gmps
TMEM11,Tmem11
SOCS2,Socs2
GGH,Ggh
CFLAR,Cflar
CCN6,Ccn6
CCN5,Ccn5
CCN4,Ccn4
HDAC3,Hdac3
PROM1,Prom1
KSR1,Ksr1
ALKBH1,Alkbh1
TSC22D1,Tsc22d1
KAT2B,Kat2b
CDK5R1,Cdk5r1
AKAP4,Akap4
ASAP2,Asap2
ALDH1A2,Aldh1a2
NR1I2,Nr1i2
PROZ,Proz
WHR1,Whr1
LDB1,Ldb1
APLN,Apln
PER3,Per3
PER2,Per2
SYNJ1,Synj1
ST3GAL5,St3gal5
IER3,Ier3
SYNJ2,Synj2
CDC123,Cdc123
ARHGEF7,Arhgef7
VNN1,Vnn1
SPHK1,Sphk1
SQSTM1,Sqstm1
SGPL1,Sgpl1
FUBP1,Fubp1
CDC16,Cdc16
ZPR1,Zpr1
NAE1,Nae1
SLC5A6,Slc5a6
DDX18,Ddx18
TAX1BP1,Tax1bp1
MCM3AP,Mcm3ap
EIF2B4,Eif2b4
EIF2B3,Eif2b3
EIF2B2,Eif2b2
EIF2B5,Eif2b5
EIF2S2,Eif2s2
CPNE3,Cpne3
BUD31,Bud31
MTMR3,Mtmr3
MTMR2,Mtmr2
PRP4K,Prpf4b
CCNA1,Ccna1
CPNE1,Cpne1
AP1S2,Ap1s2
AP1G2,Ap1g2
AP1M1,Ap1m1
ENDOU,Endou
SGCE,Sgce
CACNA1I,Cacna1i
CACNA1H,Cacna1h
CACNA1G,Cacna1g
TIMELESS,Timeless
BCL10,Bcl10
HERC3,Herc3
HERC2,Herc2
HERC1,Herc1
SNURF,Snurf
BSN,Bsn
FOXH1,Foxh1
PHOX2B,Phox2b
MBD4,Mbd4
MBD2,Mbd2
RAB29,Rab29
SKAP2,Skap2
WASF1,Wasf1
BAIAP3,Baiap3
FUBP3,Fubp3
TOP3B,Top3b
CDK5R2,Cdk5r2
KYNU,Kynu
AP3D1,Ap3d1
BTRC,Btrc
H1-10,H1f10
MGAM,Mgam
CHRNA6,Chrna6
P4HA2,P4ha2
USP13,Usp13
WASL,Wasl
PLOD3,Plod3
RPS6KA4,Rps6ka4
STBD1,Stbd1
HSPB3,Hspb3
TRPA1,Trpa1
SELENBP1,Selenbp1
ATP6V0E1,Atp6v0e1
PGLYRP1,Pglyrp1
LIMD1,Limd1
TNFSF18,Tnfsf18
NOL3,Nol3
KALRN,Kalrn
CDKL2,Cdkl2
HAP1,Hap1
F2RL3,F2rl3
TAF1C,Taf1c
TAF1B,Taf1b
TAF1A,Taf1a
SLC25A14,Slc25a14
MPZL1,Mpzl1
MAP3K14,Map3k14
SOCS3,Socs3
CLIC3,Clic3
CH25H,Ch25h
BRSK2,Brsk2
RNF8,Rnf8
HIP1R,Hip1r
RHBDL1,Rhbdl1
BAZ1B,Baz1b
TM4SF5,Tm4sf5
PKD2L1,Pkd2l1
